# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 260:         5.177       52.101       2.00  DE BILT
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# TX       = Maximum temperatuur (in 0.1 graden Celsius); 
# 
# STN,YYYYMMDD,   TX
# 
  260,19930405,  103
  260,19930406,  106
  260,19930407,   92
  260,19930408,  101
  260,19930409,  131
  260,19930410,  129
  260,19930411,  109
  260,19930412,  125
  260,19930413,  130
  260,19930414,  143
  260,19930415,  144
  260,19930416,  157
  260,19930417,  113
  260,19930418,  133
  260,19930419,  120
  260,19930420,  218
  260,19930421,  210
  260,19930422,  180
  260,19930423,  192
  260,19930424,  218
  260,19930425,  202
  260,19930426,  209
  260,19930427,  236
  260,19930428,  269
  260,19930429,  268
  260,19930430,  269
  260,19930501,  234
  260,19930502,  130
  260,19930503,  125
  260,19930504,  139
  260,19930505,  136
  260,19930506,  153
  260,19930507,  147
  260,19930508,  194
  260,19930509,  253
  260,19930510,  252
  260,19930511,  261
  260,19930512,  252
  260,19930513,  158
  260,19930514,  144
  260,19930515,  153
  260,19930516,  189
  260,19930517,  245
  260,19930518,  219
  260,19930519,  212
  260,19930520,  229
  260,19930521,  157
  260,19930522,  195
  260,19930523,  219
  260,19930524,  255
  260,19930525,  244
  260,19930526,  241
  260,19930527,  157
  260,19930528,  131
  260,19930529,  205
  260,19930530,  208
  260,19930531,  171
  260,19930601,  202
  260,19930602,  224
  260,19930603,  175
  260,19930604,  212
  260,19930605,  237
  260,19930606,  238
  260,19930607,  244
  260,19930608,  266
  260,19930609,  290
  260,19930610,  289
  260,19930611,  227
  260,19930612,  159
  260,19930613,  174
  260,19930614,  140
  260,19930615,  177
  260,19930616,  146
  260,19930617,  196
  260,19930618,  171
  260,19930619,  184
  260,19930620,  196
  260,19930621,  185
  260,19930622,  186
  260,19930623,  182
  260,19930624,  173
  260,19930625,  159
  260,19930626,  184
  260,19930627,  188
  260,19930628,  184
  260,19930629,  240
  260,19930630,  263
  260,19930701,  248
  260,19930702,  235
  260,19930703,  237
  260,19930704,  265
  260,19930705,  177
  260,19930706,  182
  260,19930707,  175
  260,19930708,  231
  260,19930709,  231
  260,19930710,  178
  260,19930711,  171
  260,19930712,  173
  260,19930713,  190
  260,19930714,  179
  260,19930715,  181
  260,19930716,  226
  260,19930717,  202
  260,19930718,  211
  260,19930719,  181
  260,19930720,  195
  260,19930721,  179
  260,19930722,  197
  260,19930723,  219
  260,19930724,  240
  260,19930725,  188
  260,19930726,  183
  260,19930727,  175
  260,19930728,  208
  260,19930729,  227
  260,19930730,  186
  260,19930731,  190
  260,19930801,  195
  260,19930802,  243
  260,19930803,  209
  260,19930804,  215
  260,19930805,  210
  260,19930806,  186
  260,19930807,  223
  260,19930808,  215
  260,19930809,  186
  260,19930810,  172
  260,19930811,  183
  260,19930812,  192
  260,19930813,  197
  260,19930814,  224
  260,19930815,  231
  260,19930816,  209
  260,19930817,  198
  260,19930818,  217
  260,19930819,  220
  260,19930820,  209
  260,19930821,  215
  260,19930822,  147
  260,19930823,  167
  260,19930824,  180
  260,19930825,  177
  260,19930826,  184
  260,19930827,  157
  260,19930828,  182
  260,19930829,  191
